period,fueltypeid,fuelTypeDescription,generation,generation-units,year,month
2023-08-01,NG,natural gas,198999.93491,thousand megawatthours,2023,8
2023-08-01,HYC,conventional hydroelectric,21293.08687,thousand megawatthours,2023,8
2023-08-01,COL,"coal, excluding waste coal",77366.75133,thousand megawatthours,2023,8
2023-07-01,WND,wind,28004.56067,thousand megawatthours,2023,7
2023-07-01,NG,natural gas,199288.8158,thousand megawatthours,2023,7
2023-07-01,HYC,conventional hydroelectric,21977.73383,thousand megawatthours,2023,7
2023-07-01,COL,"coal, excluding waste coal",78088.32775,thousand megawatthours,2023,7
2023-07-01,SUN,solar,18894.31191,thousand megawatthours,2023,7
2023-07-01,ALL,all fuels,425220.30159,thousand megawatthours,2023,7
2023-07-01,NUC,nuclear,69887.588,thousand megawatthours,2023,7
2023-06-01,ALL,all fuels,359101.31998,thousand megawatthours,2023,6
2023-06-01,WND,wind,27546.97393,thousand megawatthours,2023,6
2023-06-01,SUN,solar,17833.69949,thousand megawatthours,2023,6
2023-06-01,NUC,nuclear,64819.195,thousand megawatthours,2023,6
2023-06-01,NG,natural gas,161851.00512,thousand megawatthours,2023,6
2023-06-01,HYC,conventional hydroelectric,21572.23898,thousand megawatthours,2023,6
2023-06-01,COL,"coal, excluding waste coal",57193.6479,thousand megawatthours,2023,6
2023-05-01,WND,wind,32227.18097,thousand megawatthours,2023,5
2023-05-01,COL,"coal, excluding waste coal",43420.43589,thousand megawatthours,2023,5
2023-05-01,ALL,all fuels,327373.6738,thousand megawatthours,2023,5
2023-05-01,HYC,conventional hydroelectric,27651.29087,thousand megawatthours,2023,5
2023-05-01,SUN,solar,17281.04775,thousand megawatthours,2023,5
2023-05-01,NUC,nuclear,61155.193,thousand megawatthours,2023,5
2023-05-01,NG,natural gas,137295.67838,thousand megawatthours,2023,5
2023-04-01,ALL,all fuels,301767.66638,thousand megawatthours,2023,4
2023-04-01,WND,wind,42745.50715,thousand megawatthours,2023,4
2023-04-01,SUN,solar,15061.64053,thousand megawatthours,2023,4
2023-04-01,NUC,nuclear,56662.458,thousand megawatthours,2023,4
2023-04-01,NG,natural gas,119877.76442,thousand megawatthours,2023,4
2023-04-01,HYC,conventional hydroelectric,19819.60825,thousand megawatthours,2023,4
2023-04-01,COL,"coal, excluding waste coal",39727.69475,thousand megawatthours,2023,4
2023-03-01,SUN,solar,12212.81238,thousand megawatthours,2023,3
2023-03-01,NUC,nuclear,62820.443,thousand megawatthours,2023,3
2023-03-01,NG,natural gas,133557.7022,thousand megawatthours,2023,3
2023-03-01,HYC,conventional hydroelectric,21331.4014,thousand megawatthours,2023,3
2023-03-01,COL,"coal, excluding waste coal",49476.14774,thousand megawatthours,2023,3
2023-03-01,ALL,all fuels,331564.66133,thousand megawatthours,2023,3
2023-03-01,WND,wind,43583.75311,thousand megawatthours,2023,3
2023-02-01,SUN,solar,9434.58761,thousand megawatthours,2023,2
2023-02-01,NUC,nuclear,60806.857,thousand megawatthours,2023,2
2023-02-01,NG,natural gas,124891.94388,thousand megawatthours,2023,2
2023-02-01,HYC,conventional hydroelectric,19961.14213,thousand megawatthours,2023,2
2023-02-01,COL,"coal, excluding waste coal",45752.8839,thousand megawatthours,2023,2
2023-02-01,ALL,all fuels,310776.22886,thousand megawatthours,2023,2
2023-02-01,WND,wind,41424.26888,thousand megawatthours,2023,2
2023-01-01,SUN,solar,7806.04484,thousand megawatthours,2023,1
2023-01-01,NUC,nuclear,70870.08,thousand megawatthours,2023,1
2023-01-01,NG,natural gas,138339.10302,thousand megawatthours,2023,1
2023-01-01,HYC,conventional hydroelectric,22754.21698,thousand megawatthours,2023,1
2023-01-01,COL,"coal, excluding waste coal",60851.83421,thousand megawatthours,2023,1
2023-01-01,ALL,all fuels,347784.3961,thousand megawatthours,2023,1
2023-01-01,WND,wind,38357.97689,thousand megawatthours,2023,1
2022-12-01,SUN,solar,6777.13575,thousand megawatthours,2022,12
2022-12-01,NUC,nuclear,69094.147,thousand megawatthours,2022,12
2022-12-01,NG,natural gas,140715.95863,thousand megawatthours,2022,12
2022-12-01,HYC,conventional hydroelectric,20429.54086,thousand megawatthours,2022,12
2022-12-01,COL,"coal, excluding waste coal",72745.14093,thousand megawatthours,2022,12
2022-12-01,ALL,all fuels,360257.03143,thousand megawatthours,2022,12
2022-12-01,WND,wind,38679.53194,thousand megawatthours,2022,12
2022-11-01,ALL,all fuels,321780.34697,thousand megawatthours,2022,11
2022-11-01,WND,wind,41198.8465,thousand megawatthours,2022,11
2022-11-01,SUN,solar,8402.51271,thousand megawatthours,2022,11
2022-11-01,NUC,nuclear,62041.287,thousand megawatthours,2022,11
2022-11-01,NG,natural gas,127523.43894,thousand megawatthours,2022,11
2022-11-01,HYC,conventional hydroelectric,17898.14767,thousand megawatthours,2022,11
2022-11-01,COL,"coal, excluding waste coal",55703.68131,thousand megawatthours,2022,11
2022-10-01,ALL,all fuels,313948.99137,thousand megawatthours,2022,10
2022-10-01,WND,wind,32744.63415,thousand megawatthours,2022,10
2022-10-01,SUN,solar,11941.50155,thousand megawatthours,2022,10
2022-10-01,NUC,nuclear,58945.383,thousand megawatthours,2022,10
2022-10-01,NG,natural gas,133491.52385,thousand megawatthours,2022,10
2022-10-01,HYC,conventional hydroelectric,14367.41841,thousand megawatthours,2022,10
2022-10-01,COL,"coal, excluding waste coal",53600.1878,thousand megawatthours,2022,10
2022-09-01,SUN,solar,13286.13522,thousand megawatthours,2022,9
2022-09-01,NUC,nuclear,63733.186,thousand megawatthours,2022,9
2022-09-01,NG,natural gas,156947.86255,thousand megawatthours,2022,9
2022-09-01,HYC,conventional hydroelectric,17026.14725,thousand megawatthours,2022,9
2022-09-01,COL,"coal, excluding waste coal",64382.89203,thousand megawatthours,2022,9
2022-09-01,ALL,all fuels,351654.94444,thousand megawatthours,2022,9
2022-09-01,WND,wind,27331.13356,thousand megawatthours,2022,9
2022-08-01,ALL,all fuels,412133.19484,thousand megawatthours,2022,8
2022-08-01,WND,wind,24718.4162,thousand megawatthours,2022,8
2022-08-01,SUN,solar,14502.35057,thousand megawatthours,2022,8
2022-08-01,NUC,nuclear,68896.917,thousand megawatthours,2022,8
2022-08-01,NG,natural gas,188859.66884,thousand megawatthours,2022,8
2022-08-01,HYC,conventional hydroelectric,21132.94901,thousand megawatthours,2022,8
2022-08-01,COL,"coal, excluding waste coal",84491.5479,thousand megawatthours,2022,8
2022-07-01,ALL,all fuels,422974.98247,thousand megawatthours,2022,7
2022-07-01,WND,wind,29474.97824,thousand megawatthours,2022,7
2022-07-01,SUN,solar,15765.47097,thousand megawatthours,2022,7
2022-07-01,NUC,nuclear,68856.919,thousand megawatthours,2022,7
2022-07-01,NG,natural gas,189042.19413,thousand megawatthours,2022,7
2022-07-01,HYC,conventional hydroelectric,24567.4546,thousand megawatthours,2022,7
2022-07-01,COL,"coal, excluding waste coal",85687.92048,thousand megawatthours,2022,7
2022-06-01,NG,natural gas,155516.99607,thousand megawatthours,2022,6
2022-06-01,WND,wind,33767.53068,thousand megawatthours,2022,6
2022-06-01,SUN,solar,16052.33251,thousand megawatthours,2022,6
2022-06-01,HYC,conventional hydroelectric,25987.79518,thousand megawatthours,2022,6
2022-06-01,COL,"coal, excluding waste coal",72838.79878,thousand megawatthours,2022,6
2022-06-01,ALL,all fuels,379133.82357,thousand megawatthours,2022,6
2022-06-01,NUC,nuclear,65715.42,thousand megawatthours,2022,6
2022-05-01,ALL,all fuels,342183.64215,thousand megawatthours,2022,5
2022-05-01,WND,wind,42123.69758,thousand megawatthours,2022,5
2022-05-01,SUN,solar,15120.20823,thousand megawatthours,2022,5
2022-05-01,NUC,nuclear,63381.62449,thousand megawatthours,2022,5
2022-05-01,NG,natural gas,127091.02336,thousand megawatthours,2022,5
2022-05-01,HYC,conventional hydroelectric,23358.77956,thousand megawatthours,2022,5
2022-05-01,COL,"coal, excluding waste coal",61776.29951,thousand megawatthours,2022,5
2022-04-01,SUN,solar,13401.63316,thousand megawatthours,2022,4
2022-04-01,NUC,nuclear,55289.54,thousand megawatthours,2022,4
2022-04-01,NG,natural gas,105505.84655,thousand megawatthours,2022,4
2022-04-01,HYC,conventional hydroelectric,20065.83638,thousand megawatthours,2022,4
2022-04-01,COL,"coal, excluding waste coal",54768.49046,thousand megawatthours,2022,4
2022-04-01,ALL,all fuels,303993.64888,thousand megawatthours,2022,4
2022-04-01,WND,wind,46167.09477,thousand megawatthours,2022,4
